Journal,language requirements,language requirements notes,language requirements binned,editing services,author guidelines suggest peer review,Authors are recommended in guidelines to suggest reviewers from diverse backgrounds (select no if there are no guidelines),authors suggest diverse reviews binned,guidelines multiple countries,guidelines multiple institutions,guidelines ecr,guidelines gender,guidelines another demographic enthnicity or race,guidelines another demographic other,guidelines to be reviewer,guidelines link publisher,guidelines reviewer specific journal,guidelines social justice,guidelines esl,blind format,journal publish peer reviews,continent,eic_01,eic_02,eic_03,eic_04,eic_05,eic_06,eic_07,eic_08,eic_09,JCR 2020 IF,JIF_bin,JCR 2020 IF sans self citations ,JCR 2020 JCI,Language in JCR,Country based in on JCR,Publisher on JCR,Publisher from JCR but binned by larger company,Publisher major minor,society,Society listed,Society_publisher,First year in JCR,Website URL,Secondary website domain,Notes,Overall Tier Score,Notes on tier scoring,Source
BMC Ecology and Evolution,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""For editors and reviewers to accurately assess the work presented in your manuscript you need to ensure the English language is of sufficient quality to be understood. If you need help with writing in English you should consider:
Getting a fast, free online grammar check.
Asking a colleague who is proficient in English to review your manuscript for clarity.
Visiting the English language tutorial which covers the common mistakes when writing in English.
Using a professional language editing service where editors will improve the English to ensure that your meaning is clear and identify problems that require your review. Two such services are provided by our affiliates Nature Research Editing Service and American Journal Experts. Springer authors are entitled to a 10% discount on their first submission to either of these services, simply follow the links below""",5,Authors pay for editing,Optional,No,2,No,No,No,No,No,No,Yes,Yes,No,No,No,Single,No,Europe,United Kingdom,,,,,,,,,2.964,Low,2.909,0.71,English,United Kingdom,BMC,SPRINGER,Major,NA,Not_society,Major_Not_society,2014,https://bmcecolevol.biomedcentral.com/,,"It is indexed as BMC Ecology in JCR but says on the website, ""BMC Ecology is now closed. This journal has merged with BMC Ecology and Evolution, a broad-scope, open access community journal that considers articles on all aspects of evolution and ecology."" This is a BMC journal that is a subsidiary of Springer. ",Tier 1,,"Original list (publisher, personal knowledge)"
BMC Genomics,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""For editors and reviewers to accurately assess the work presented in your manuscript you need to ensure the English language is of sufficient quality to be understood. If you need help with writing in English you should consider:
Getting a fast, free online grammar check.
Asking a colleague who is proficient in English to review your manuscript for clarity.
Visiting the English language tutorial which covers the common mistakes when writing in English.
Using a professional language editing service where editors will improve the English to ensure that your meaning is clear and identify problems that require your review. Two such services are provided by our affiliates Nature Research Editing Service and American Journal Experts. Springer authors are entitled to a 10% discount on their first submission to either of these services, simply follow the links below""",5,Authors pay for editing,Optional,No,2,No,No,No,No,No,No,Yes,Yes,No,No,No,Single,No,Europe,United Kingdom,,,,,,,,,3.969,Mid,3.812,0.99,English,United Kingdom,BMC,SPRINGER,Major,NA,Not_society,Major_Not_society,2004,https://bmcgenomics.biomedcentral.com/,,"Author guidelines state that if reviewers contacted first are unavailable, they will use a paid service to find additional reviewers - do not ask for author suggestions. This is a BMC journal that is a subsidiary of Springer. ",Tier 3,"includes genomics, with some articles on evolution","Original list (publisher, personal knowledge)"
BMC Zoology,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""For editors and reviewers to accurately assess the work presented in your manuscript you need to ensure the English language is of sufficient quality to be understood. If you need help with writing in English you should consider:
Getting a fast, free online grammar check.
Asking a colleague who is proficient in English to review your manuscript for clarity.
Visiting the English language tutorial which covers the common mistakes when writing in English.
Using a professional language editing service where editors will improve the English to ensure that your meaning is clear and identify problems that require your review. Two such services are provided by our affiliates Nature Research Editing Service and American Journal Experts. Springer authors are entitled to a 10% discount on their first submission to either of these services, simply follow the links below""",5,Authors pay for editing,Optional,No,2,No,No,No,No,No,No,Yes,Yes,No,No,No,Single,No,Europe,United Kingdom,,,,,,,,,2.773,Low,2.727,1.39,English,United Kingdom,BMC,SPRINGER,Major,NA,Not_society,Major_Not_society,2019,https://bmczool.biomedcentral.com/,,This is a BMC journal that is a subsidiary of Springer. ,Tier 3,"Not expliclity eco/evo focused but includes related fields: ""comparative physiology, mechanistic and functional studies, morphology, life history, animal behavior, signaling and communication, cognition, parasitism, systematics, biogeography and conservation",JCR
Boletin de la Sociedad Argentina de Botanica,"Journal publishes articles in more than one language (e.g., Spanish and English)","also publishes in Spanish, Portuguese, or English",2,Journal doesn't mention language editing,Yes,No,2,No,No,No,No,No,No,No,No,No,No,No,Single,No,South America,Argentina,,,,,,,,,0.505,Low,0.4,0.14,Multi-Language,ARGENTINA,SOC ARGENTINA BOTANICA,SOCIEDAD ARGENTINA DE BOTANICA,Minor,Argentine Society of Botany,Society,Minor_Society,2012,https://botanicaargentina-org-ar.translate.goog/boletin/?_x_tr_sl=es&_x_tr_tl=en&_x_tr_hl=en-US&_x_tr_pto=sc,,,Tier 1,,JCR
BOREAL ENVIRONMENT RESEARCH,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""If English is not your mother tongue, make sure that the manuscript is checked by a native English speaker, preferably familiar with the nomenclature used. All manuscripts will be thoroughly checked by someone proficient in English, and returned for further corrections if found to be linguistically inadequate.""",6,Journal doesn't mention language editing,Yes,No,2,No,No,No,No,No,No,No,No,No,No,No,Single,No,Europe,Finland,,,,,,,,,1.289,Low,1.289,0.29,English,FINLAND,FINNISH ENVIRONMENT INST,FINNISH ENVIRONMENT INST,Minor,Finnish Air Pollution Prevention Society,Society,Minor_Society,2003,http://www.borenv.net/,,"Jointly Published by Institute for Atmospheric and Earth System Research (INAR), University of Helsinki, Finnish Environment Institute, Finnish Meteorological Institute, Finnish Air Pollution Prevention Society, Finnish Association for Aerosol Research, Water Association Finnish",Tier 3,,JCR
Boreas,Offers editing but doesn't strongly suggest or recommend that people use it,"""Wiley Editing Services offers expert help with English Language Editing, as well as translation, manuscript formatting, figure illustration, figure formatting, and graphical abstract design – so you can submit your manuscript with confidence.""",4,Authors pay for editing,No,No,1,No,No,No,No,No,No,Yes,Yes,No,No,No,Single,No,Europe,Denmark,,,,,,,,,2.587,Low,2.254,0.88,English,DENMARK,WILEY,WILEY,Major,NA,Not_society,Major_Not_society,1997,https://onlinelibrary.wiley.com/journal/15023885,,,Tier 3,,"Original list (publisher, personal knowledge)"
BOTANICA MARINA,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""Manuscripts should be written in clear and concise English. The text must be carefully checked for grammatical and typing errors. Non-native speakers are requested to have their text proofread by a native English speaker prior to submission.""",6,Authors pay for editing,Yes,Yes,3,Yes,No,No,No,No,No,No,No,No,No,No,Assumed_single,No,Europe,United Kingdom,,,,,,,,,1.843,Low,1.706,0.46,English,Germany,WALTER DE GRUYTER GMBH,WALTER DE GRUYTER GMBH,Minor,NA,Not_society,Minor_Not_society,1997,https://www.degruyter.com/journal/key/botm/html,,,Tier 1,"includes fungi, plants, and bacteria",JCR
Botanica Serbica,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""Manuscripts should be written in clear and concise English. The text must be carefully checked for grammatical and typing errors. Non-native speakers are requested to have their text proofread by a native English speaker prior to submission.""",6,Authors pay for editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Double_required,No,Europe,Serbia,,,,,,,,,0.468,Low,0.362,0.14,English,SERBIA,"UNIV BELGRADE, INST BOTANY & BOTANICAL GARDEN",UNIVERSITY OF BELGRADE,Minor,NA,Not_society,Minor_Not_society,2019,https://botanicaserbica.bio.bg.ac.rs/editorial.html,,,Tier 1,,JCR
Botanical Journal of the Linnean Society,Offers editing but doesn't strongly suggest or recommend that people use it,"""If you are not confident in the quality of your English, you may wish to use a language-editing service to ensure that editors and reviewers understand your paper. Oxford University Press partners with Enago, a leading provider of author services. Prospective authors are entitled to a discount of 30% for editing services at Enago, via the Specialist English Editing Services for Oxford University Press Authors page.""",4,Partial waivers available,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Assumed_single,No,Europe,United Kingdom,,,,,,,,,2.911,Low,2.438,0.77,English,United Kingdom,OXFORD UNIV PRESS,OXFORD UNIVERSITY PRESS,Major,Linnean Society of London,Society,Major_Society,1997,https://academic.oup.com/botlinnean,,,Tier 3,,"Original list (publisher, personal knowledge)"
BOTANICAL REVIEW,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""For editors and reviewers to accurately assess the work presented in your manuscript you need to ensure the English language is of sufficient quality to be understood. If you need help with writing in English you should consider:
Getting a fast, free online grammar check.
Asking a colleague who is proficient in English to review your manuscript for clarity.
Visiting the English language tutorial which covers the common mistakes when writing in English.
Using a professional language editing service where editors will improve the English to ensure that your meaning is clear and identify problems that require your review. Two such services are provided by our affiliates Nature Research Editing Service and American Journal Experts. Springer authors are entitled to a 10% discount on their first submission to either of these services, simply follow the links below""",5,Authors pay for editing,Optional,Yes,3,Yes,Yes,No,No,No,No,No,No,No,No,No,Single,No,Northern America,United States,,,,,,,,,3.083,Mid,3.042,0.91,English,United States,SPRINGER,SPRINGER,Major,NA,Not_society,Major_Not_society,1997,https://www.springer.com/journal/12229,,,Tier 1,,JCR
Botanical Sciences,"Journal publishes articles in more than one language (e.g., Spanish and English)",also publishes in Spanish,2,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Single,No,Northern America,Mexico,,,,,,,,,0.959,Low,0.857,0.28,Spanish,MEXICO,SOC BOTANICA MEXICO,SOCIEDAD BOTANICA DE MEXICO,Minor,Sociedad Botánica de México,Society,Minor_Society,2012,https://www.botanicalsciences.com.mx/index.php/botanicalSciences/about,,Formerly Boletin de la Sociedad Botanica de Mexico,Tier 1,,JCR
Botanical Studies,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""For editors and reviewers to accurately assess the work presented in your manuscript you need to ensure the English language is of sufficient quality to be understood. If you need help with writing in English you should consider:
Getting a fast, free online grammar check.
Asking a colleague who is proficient in English to review your manuscript for clarity.
Visiting the English language tutorial which covers the common mistakes when writing in English.
Using a professional language editing service where editors will improve the English to ensure that your meaning is clear and identify problems that require your review. Two such services are provided by our affiliates Nature Research Editing Service and American Journal Experts. Springer authors are entitled to a 10% discount on their first submission to either of these services, simply follow the links below""",5,Authors pay for editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Single,No,Asia,Taiwan,,,,,,,,,2.787,Low,2.721,0.67,Multi-Language,TAIWAN,SPRINGER,SPRINGER,Major,NA,Not_society,Major_Not_society,2006,"https://as-botanicalstudies.springeropen.com/#:~:text=Botanical%20Studies%20is%20an%20open,groups%2C%20algae%2C%20and%20fungi.",,,Tier 1,,JCR
Botany,"Journal publishes articles in more than one language (e.g., Spanish and English)",also publishes in French,2,Journal doesn't mention language editing,Yes,No,2,No,No,No,No,No,No,No,No,No,No,No,Single,No,Northern America,Canada,Canada,,,,,,,,1.323,Low,1.248,0.4,English,CANADA,CANADIAN SCIENCE PUBLISHING,CANADIAN SCIENCE PUBLISHING,Minor,NA,Not_society,Minor_Not_society,2008,https://cdnsciencepub.com/journal/cjb,,,Tier 1,,JCR
